,Subject,k,z1,z2,z3,zNW,a0/BA,a1/BS,x0,sz,nondectime,l,m1,m2,m3,mNW,BA,BS,x0.1,sz.1,nondectime.1,"LogLoss (nlDDM, train)","LogLoss (OU, train)","BIC (nlDDM, train)","BIC (OU, train)","LogLoss (nlDDM, test)","LogLoss (OU, test)","BIC (nlDDM, test)","BIC (OU, test)",# train samples,# test samples,CV
0,6.0,9.00508279671913,-0.8759637381754595,-0.8221634788582343,-0.7675259658917588,-0.8163288025469967,1.0495505756407078,1.2833149999801392,-0.7124263702163309,0.4143786951552845,0.1646329470172927,0.1,1.0457224478219591,0.8679099712693347,0.5811297106696053,0.8138153475524058,0.257012453519311,0.1796011790937859,-0.3900372506944287,0.0263795600677765,0.2344959504439424,-405.0499559529396,-194.7615842364891,-736.7500931171611,-316.1733496842601,-85.24191157606325,-33.44345973844859,-110.97739762624924,-7.380493951019908,1533.0,384.0,0
0,6.0,9.529059863670795,-0.8574370138612065,-0.8076304810859469,-0.7639944897150899,-0.802409721694747,1.0495098983562827,1.2824746907037603,-0.7131712358237505,0.3468735257938431,0.1613026672756276,0.1,1.0283145461032035,0.7942921909912839,0.5845649998233129,0.7533975363304213,0.2501501590310035,0.1755900493486635,-0.3630551276792387,0.0622052799271156,0.2314002698921619,-365.685027093953,-140.35978429462196,-658.0202353991879,-207.36974980052577,-128.10971529632636,-88.35970450162581,-196.71300506677545,-117.21298347737437,1533.0,384.0,1
0,6.0,9.834670068437417,-0.8631352136479918,-0.8008285629199463,-0.7414597328577148,-0.793375486288494,1.005618554010894,1.222862312754977,-0.6862350551347776,0.3955282983205474,0.1666975922459563,0.1,1.0476510126225262,0.7847160225466231,0.5425867186039363,0.7705814297218329,0.2580315254036045,0.1775564018112803,-0.3652016731836244,0.0205912358954057,0.2328734259729588,-383.009187816407,-157.5370761389356,-692.662035813542,-241.7178124585992,-111.58204866876818,-72.42820012167337,-163.68374744572992,-85.37605035154029,1534.0,383.0,2
0,6.0,9.806090917276476,-0.8663626193765301,-0.8089771273438991,-0.7672711823760301,-0.7974237146524311,1.041416717410353,1.2968460537318611,-0.6928660017593605,0.4056377378864613,0.189164044252306,0.1,1.07317537284477,0.8054867091811694,0.6040847968007029,0.7826974937535495,0.2533516774125326,0.174193447304221,-0.3714356061249849,0.0368181001357058,0.2411332085596487,-422.7716865479696,-300.1299307488475,-772.1870332766673,-526.9035216784231,-27.81202118702564,114.30999558519582,3.8563075177551767,288.1003410621981,1534.0,383.0,3
0,6.0,9.659233181611718,-0.8604935259413423,-0.8066300957825085,-0.7526436087568592,-0.7889632803057554,1.0204407734679144,1.2777279956886172,-0.6925701388362533,0.4121996621779105,0.1784025666391042,0.1,1.07297841201381,0.8220002918510898,0.5821907044220116,0.7909262019138279,0.2407809558715885,0.1572215064571271,-0.3238532182001674,0.0055633087156761,0.278708310172482,-401.8014701781312,-133.9474073901792,-730.2466005369905,-194.5384749610864,-85.26418344986273,89.4757803977264,-111.048017007919,238.43191068725923,1534.0,383.0,4
0,7.0,9.954600063258354,-0.7395558983785293,-0.657956966465429,-0.63501638945322,-0.7084600946359184,0.909276532794376,1.0447164414710417,-0.5933460683332704,0.3102228326558551,0.1011525672029622,0.1005437888475357,0.8757920320271921,0.5862795166866244,0.43634909117538,0.6250810138409877,0.2375696054329479,0.1825199856173949,-0.3524175489979002,0.0218782559158283,0.2012295663029607,-121.37520049147798,32.59969151835195,-169.40710747995058,138.54267653970928,9.221137914261137,55.85961922671601,77.92262572032872,171.19958834523848,1532.0,383.0,0
0,7.0,9.93219521037116,-0.7616089174146821,-0.6794650389237807,-0.6530827235989352,-0.7311457438987603,0.9457419746618212,1.083537696089334,-0.6314967453762154,0.2661083746580075,0.1017411700418288,0.1033128403575114,0.8057701037508078,0.53924588551628,0.3931145597012317,0.6223738266445329,0.2379345097858016,0.1801499688292742,-0.327579498575354,0.0140564948386198,0.2002633070704385,-52.78895582785496,100.35185467159609,-32.23461815270454,274.0470028461976,-64.08902316050873,-13.47218339984955,-68.697696429211,32.53598309210736,1532.0,383.0,1
0,7.0,9.947554166413871,-0.7462132868905123,-0.6761539798436258,-0.6519007500505143,-0.7246231303288562,0.9403244963335587,1.0599248848347749,-0.6184978854407983,0.276099984820609,0.1020252080937554,0.1002328265245404,0.8590179601513794,0.5821859406199748,0.4445011945286898,0.6373884189707075,0.2424662307076275,0.1879790993401178,-0.3441267444485381,0.0231295387011084,0.2005755247737355,-92.52645903297548,65.57563374905986,-111.7096245629456,204.49456100112508,-24.37012564550533,20.48978956108763,10.740098600795797,100.45992901398172,1532.0,383.0,2
0,7.0,9.95271231358126,-0.7255463066240817,-0.6550889573464254,-0.6115941680969514,-0.7085715359746373,0.935438247668934,1.072632278964914,-0.595599842584263,0.3024149547223302,0.1138311034436541,0.1004744377474748,0.8454354429553153,0.5747871466772825,0.3874193136960508,0.6371203563592021,0.2448514218377666,0.186620719086378,-0.345747990818824,0.0137374496733451,0.2014248229393874,-100.37863568001372,70.7002931807715,-127.41397785702208,214.7438798645484,-12.32736368721649,15.323253603054034,34.825622517373475,90.12685709791452,1532.0,383.0,3
0,7.0,9.955398924442868,-0.777131618098017,-0.7108415168506309,-0.6722130721679136,-0.7490851210005514,0.9688273814775424,1.1139338107284822,-0.6591950181184292,0.2552562615724955,0.1141123258585148,0.1,0.8432729901564578,0.5760000547866174,0.3841905904448535,0.6645547744340093,0.2296576873740701,0.1722686022235775,-0.3169086499592584,0.0252926212354073,0.2331832165868643,-104.2845118385437,31.770403432470115,-135.225730174082,136.8841003679456,25.83310487929988,211.80665085934237,111.14655965040622,483.0936516104911,1532.0,383.0,4
