Dataset,Subject,correct mean RT (empirical),correct mean RT (nlDDM),correct mean RT (DDM),error mean RT (empirical),error mean RT (nlDDM),error mean RT (DDM),Error rate (empirical),Error rate (nlDDM),Error rate (DDM),LogLoss (nlDDM),LogLoss (DDM),BIC (nlDDM),BIC (DDM),Performance Loss (nlDDM),Performance Loss (DDM)
Wagenmakers (speed),9,0.546598074608905,0.5366186573842543,0.5411727679921012,0.5914724409448817,0.6962001724496293,0.5932361430608867,0.1325678496868476,0.15737155742741146,0.1549871726390723,-456.5164202517278,-480.4170765395311,-892.438297169543,-940.2396097451496,0.01815870274964231,0.027660223657119752
Wagenmakers (speed),10,0.4750243902439024,0.4840366988695841,0.4894579648698332,0.4371285714285715,0.6545172766971725,0.4760824434644132,0.14583333333333334,0.05026183395860433,0.15814473728531772,-385.4076498887416,-493.4157979364024,-750.2144999240976,-966.2307960194191,0.07631707417934343,0.03873462475788649
Wagenmakers (speed),11,0.5078450704225353,0.49884618674065156,0.5569091575900212,0.49664606741573036,0.5672922982835062,0.508063170594547,0.18561001042752867,0.17821425720001535,0.10349819245964974,-548.5798184558931,-447.15522505809275,-1076.5619636871359,-873.7127768915352,0.022750001806228128,0.08408392488929545
Wagenmakers (speed),12,0.5374808673469388,0.540150251041519,0.5727821351411674,0.5186761363636364,0.7439861531426601,0.5074817764835055,0.18333333333333332,0.1270746134982667,0.20040691572946182,4.966632903573398,-121.38718171073718,30.53406566053244,-222.17356356808872,0.03954403399277297,0.025054231244395354
Wagenmakers (speed),13,0.5659805699481866,0.5665645649242329,0.5658127988717434,0.5758702702702703,0.7868983826808539,0.5613711163564711,0.19331243469174503,0.10758739045288902,0.2335789941137918,-130.45516527767043,-136.99007408133212,-240.318920380982,-253.3887379883054,0.0558793532427336,0.010704420206765333
Wagenmakers (speed),14,0.5443298122065727,0.5488077410000046,0.5734882157692504,0.5402314814814815,0.9155150952248269,0.6687003535879115,0.1125,0.10557973686780411,0.14775870646697692,-319.21446499864606,-288.21856046991564,-617.8281301439065,-555.8363210864457,0.006421576975736542,0.01220921536861191
Wagenmakers (speed),15,0.542502512562814,0.5446022819259314,0.5404741516094862,0.5401779141104295,0.6506900546298862,0.5366157008772017,0.16996871741397288,0.1292352829160253,0.19522398391879342,-304.1693752239908,-402.42169831404925,-587.7410772233313,-784.2457234034482,0.011852235583531528,0.0033076364439509655
Wagenmakers (speed),16,0.5621263586956521,0.5817888769274056,0.5986808660006395,0.5166711711711711,0.6790245103117579,0.512438909720607,0.23173277661795408,0.0807649432563869,0.19436169489483102,306.3888555138731,164.68986038883656,633.3722543616589,349.97426411158574,0.09095097844035342,0.021004296935105735
Wagenmakers (speed),17,0.554722972972973,0.5508294063796538,0.5621074082506445,0.5425,0.7955815102963235,0.5184228925231322,0.075,0.07801504582290414,0.08472541993053398,-414.29299763927986,-445.1415500000225,-807.9851954251741,-869.6823001466594,0.0015720812777462632,0.002329766157379329
Binary classification,1,0.5543647798742138,0.5846059910796182,0.5707604561471873,0.48133333333333334,0.6216676891666046,0.41203218827084265,0.00625,0.018541021850644275,0.0029483602007254277,-469.6460901498827,-400.3240256104758,-902.2494636763538,-769.7791207014419,0.0026894642896132664,0.0008348816198914893
